pregunta,es_anatomia_dental
"¿Cuáles son las características anatómicas del incisivo central superior?",1
"Describe la morfología de la corona del incisivo lateral superior",1
"¿Qué diferencias existen entre incisivo central y lateral inferior?",1
"¿Cuántos milímetros mide la corona del incisivo central superior?",1
"¿Cómo es la raíz del incisivo lateral inferior?",1
"Explica la anatomía del borde incisal de los incisivos",1
"¿Qué características tiene la cara lingual de los incisivos superiores?",1
"¿Cuál es la diferencia de tamaño entre incisivos centrales superiores e inferiores?",1
"Describe los rebordes marginales de los incisivos laterales",1
"¿Cómo se identifican los incisivos centrales inferiores?",1
"¿Cuáles son las características distintivas del canino superior?",1
"Describe la cúspide del canino inferior",1
"¿Qué diferencias anatómicas hay entre caninos superiores e inferiores?",1
"¿Cómo es la raíz del canino superior comparada con otros dientes?",1
"Explica la morfología de la corona del canino inferior",1
"¿Qué función cumple la cúspide canina en la oclusión?",1
"¿Cuáles son las dimensiones típicas de los caninos permanentes?",1
"Describe las caras vestibular y lingual del canino superior",1
"¿Cómo se diferencia un canino derecho de uno izquierdo?",1
"¿Qué características tiene el cuello del canino?",1
"¿Cuántas cúspides tiene el primer premolar superior?",1
"Describe la anatomía del segundo premolar superior",1
"¿Qué diferencias hay entre primer y segundo premolar inferior?",1
"¿Cómo es la tabla oclusal del primer premolar superior?",1
"Explica la morfología radicular de los premolares superiores",1
"¿Cuáles son las características del surco central de los premolares?",1
"¿Qué diferencias anatómicas presentan los premolares inferiores?",1
"Describe las cúspides vestibular y lingual del primer premolar inferior",1
"¿Cómo se identifican los premolares en la numeración FDI?",1
"¿Qué características tiene la corona del segundo premolar inferior?",1
"¿Cuántas cúspides tiene el primer molar superior permanente?",1
"Describe la anatomía oclusal del segundo molar superior",1
"¿Qué características tiene el primer molar inferior?",1
"¿Cuántas raíces presenta el primer molar superior?",1
"Explica la morfología del segundo molar inferior",1
"¿Cómo es la tabla oclusal del primer molar superior?",1
"¿Qué diferencias hay entre primeros y segundos molares superiores?",1
"Describe las cúspides del primer molar inferior",1
"¿Cuáles son las características radiculares de los molares inferiores?",1
"¿Cómo se diferencia el tercer molar del segundo molar?",1
"¿Cuáles son las características de los incisivos temporales?",1
"Describe la morfología de los caninos de la dentición decidua",1
"¿Qué diferencias hay entre molares temporales y permanentes?",1
"¿Cuántas cúspides tiene el primer molar temporal superior?",1
"Explica la anatomía del segundo molar temporal inferior",1
"¿Cómo es la raíz de los dientes temporales comparada con permanentes?",1
"¿Qué características tiene la corona de los incisivos temporales?",1
"Describe las diferencias entre caninos temporales superiores e inferiores",1
"¿Cuál es la morfología oclusal de los molares temporales superiores?",1
"¿Cómo se identifican los dientes temporales en radiografías?",1
"Explica el sistema de numeración FDI para dientes permanentes",1
"¿Cómo funciona la nomenclatura FDI para dentición temporal?",1
"¿Qué significa el número 11 en la clasificación FDI?",1
"¿Cómo se numera el segundo premolar inferior derecho en FDI?",1
"Explica la diferencia entre sistema FDI y sistema universal",1
"¿Qué representa el número 85 en la numeración FDI?",1
"¿Cómo se clasifican los cuadrantes dentales?",1
"Describe la nomenclatura anatómica dental internacional",1
"¿Qué significa mesial y distal en anatomía dental?",1
"Explica los términos vestibular y lingual en odontología",1
"¿Qué es la cúspide de Carabelli y dónde se encuentra?",1
"Describe la anatomía del tubérculo de Carabelli",1
"¿Cuál es la función de los surcos suplementarios en molares?",1
"¿Qué son las fosas centrales en la anatomía oclusal?",1
"Explica la anatomía del cíngulo en incisivos",1
"¿Qué características tiene el tubérculo dental?",1
"Describe la fosa lingual de los incisivos superiores",1
"¿Cómo es la anatomía de las crestas marginales?",1
"¿Qué son las vertientes cuspídeas?",1
"Explica la anatomía de la fosa triangular",1
"¿Cuáles son las características del surco de desarrollo?",1
"Describe la anatomía del puente de esmalte",1
"¿Qué es el punto de contacto interproximal?",1
"¿Cómo es la anatomía de la cara oclusal de premolares?",1
"Explica las características de las fosetas oclúsales",1
"¿Qué son las cúspides accesorias en molares?",1
"Describe la anatomía de la línea cervical",1
"¿Cuáles son las características del ecuador dental?",1
"¿Qué es la convexidad vestibular en anatomía dental?",1
"Explica la anatomía de los lóbulos de desarrollo",1
"¿Cómo hacer una obturación dental?",0
"¿Qué pasos sigue un tratamiento de conducto?",0
"¿Cuál es el procedimiento para una extracción dental?",0
"¿Cómo se coloca un implante dental?",0
"¿Qué técnicas se usan en blanqueamiento dental?",0
"¿Cómo se trata una caries dental?",0
"¿Qué es una pulpotomía y cuándo se realiza?",0
"¿Cuáles son los pasos de una limpieza dental profunda?",0
"¿Cómo se realiza una cirugía periodontal?",0
"¿Qué procedimiento se sigue para colocar brackets?",0
"¿Qué síntomas presenta la gingivitis?",0
"¿Cómo se diagnostica la periodontitis?",0
"¿Qué causa las caries dentales?",0
"¿Cuáles son los signos de pulpitis?",0
"¿Cómo se manifiesta el absceso dental?",0
"¿Qué es la hipersensibilidad dental?",0
"¿Cuáles son los síntomas de bruxismo?",0
"¿Qué causa la halitosis o mal aliento?",0
"¿Cómo se presenta la xerostomía?",0
"¿Qué es la maloclusión dental?",0
"¿Qué analgésico usar para dolor dental?",0
"¿Cuál es la dosis de ibuprofeno para inflamación?",0
"¿Qué antibióticos se prescriben para infecciones?",0
"¿Cómo usar enjuagues bucales medicamentosos?",0
"¿Qué efectos secundarios tiene la lidocaína?",0
"¿Cuál es la capital de Francia?",0
"¿Cómo resolver ecuaciones cuadráticas?",0
"¿Qué es la literatura del siglo XVIII?",0
"¿Cuáles son las causas de la Primera Guerra Mundial?",0
"¿Cómo funciona la fotosíntesis?",0
"Hola",0
"¿Qué tal?",0
"Buenos días",0
"¿Cómo estás?",0
"Guatemala",0
"México",0
"¿Qué hora es?",0
"¿Cuánto cuesta?",0
"Gracias",0
"Adiós",0
"¿Cuáles son los síntomas de diabetes?",0
"¿Cómo tratar la hipertensión arterial?",0
"¿Qué causa las arritmias cardíacas?",0
"¿Cuáles son los signos de infarto?",0
"¿Cómo diagnosticar neumonía?",0
"¿Qué tratamiento usar para migraña?",0
"¿Cuáles son los síntomas de artritis?",0
"¿Cómo se prepara un café?",0
"¿Qué es el cambio climático?",0
"¿Cuándo es el próximo partido de fútbol?",0
